REGION,TOTAL_CASE_REGION,TOTAL_CASES_ACTIVE,TOTAL_CASES_RECOVERED,TOTAL_CASES_DIED,PROVINCE,CITY,LAST_14_CASES_ACTIVE,LAST_14_CASES_RECOVERED,LAST_14_CASES_DIED,POSIVITY_RATE,ICU,ICU_OCCUPIED,ICU_OCCUPIED_RATE,ICU_VACANT,ICU_VACANT_RATE,NON_ICU,NON_ICU_OCCUPIED,NON_ICU_OCCUPIED_RATE,NON_ICU_VACANT,NON_ICU_VACANT_RATE,MECHANICAL_VENTILATORS,MECHANICAL_VENTILATOR_OCCUPIED,MECHANICAL_VENTILATOR_OCCUPIED_RATE,MECHANICAL_VENTILATOR_VACANT,MECHANICAL_VENTILATOR_VACANT_RATE,FACILITIES,BED_OCCUPANCY_RATE,BED_OCCUPANY_TOTAL,BED_OCCUPIED,BED_VACANT,OCCUPANCY_SAFE,OCCUPANY_MODERATE,OCCUPANY_HIGH,OCCUPANCY_CRITICAL,CLUSTER
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,BONGABONG,17,26,0,0.142,0,0,0.0,0,0.0,10,0,0.0,10,1.0,0,0,0.0,0,0.0,2,0.0,10,0,10,2,0,0,0,2.0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,BULACAO,17,26,0,0.142,0,0,0.0,0,0.0,9,0,0.0,9,1.0,0,0,0.0,0,0.0,1,0.0,9,0,9,1,0,0,0,2.0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,CALAPAN,17,26,0,0.142,10,0,0.0,10,1.0,168,25,0.1488,145,0.8512,10,0,0.0,10,1.0,6,0.14,178,25,153,6,0,0,0,2.0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,NAUJAN,17,26,0,0.142,0,0,0.0,0,0.0,7,0,0.0,7,1.0,0,0,0.0,0,0.0,1,0.0,7,0,7,1,0,0,0,2.0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,PINAMALAYAN,17,26,0,0.142,0,0,0.0,0,0.0,49,4,0.816,45,0.9184,0,0,0.0,0,0.0,4,0.08199999999999999,49,4,45,4,0,0,0,2.0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,ROXAS,17,26,0,0.142,0,0,0.0,0,0.0,37,0,0.0,37,1.0,0,0,0.0,0,0.0,1,0.0,37,0,37,1,0,0,0,2.0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,SOCORRO,17,26,0,0.142,0,0,0.0,0,0.0,7,0,0.0,7,1.0,0,0,0.0,0,0.0,1,0.0,7,0,7,1,0,0,0,2.0
IV-B,12625,37,12098,490,ORIENTAL_MINDORO,VICTORIA,17,26,0,0.142,0,0,0.0,0,0.0,4,0,0.0,4,1.0,0,0,0.0,0,0.0,4,0.0,4,0,4,2,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,ABORLAN,7,8,1,0.142,0,0,0.0,0,0.0,12,6,0.5,6,0.5,1,0,0.0,1,1.0,1,0.5,12,6,6,1,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,BATARAZA,7,8,1,0.142,0,0,0.0,0,0.0,10,0,0.0,10,1.0,0,0,0.0,0,0.0,2,0.0,10,0,10,2,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,BROOKE_POINT,7,8,1,0.142,0,0,0.0,0,0.0,46,2,0.0435,44,0.9565,4,0,0.0,4,1.0,4,0.043,46,2,44,4,0,0,0,2.0
IV-B,7088,31,6907,150,PALAWAN,CORON,7,8,1,0.142,0,0,0.0,0,0.0,8,0,0.0,8,1.0,0,0,0.0,0,0.0,1,0.0,8,0,8,1,0,0,0,2.0
